File,Temperature,Rows,Columns,Missing_Cells,Duplicate_Rows,Min_Voltage,Max_Voltage,Min_Current,Max_Current,Min_Temperature,Max_Temperature
585_C20DisCh.csv,0degC,2244,16,2244,1,2.79993,4.19995,-0.15325,0.15069,-3.36507,1.2619
585_Dis_0p5C.csv,0degC,310,16,310,2,2.79993,4.19995,-1.49925,3.00108,-0.73611,25.02773
585_Dis_2C.csv,0degC,230,16,230,2,2.79993,4.19995,-5.99956,2.99853,-0.63095,25.02773
585_HPPC.csv,0degC,40219,16,40219,188,2.79336,4.20012,-18.00122,3.00364,-1.36706,25.02773
589_Cap_1C.csv,0degC,366,16,366,2,2.79993,4.19169,-3.00106,0.0,-0.63095,2.20833
589_Charge1.csv,0degC,131,16,131,2,4.18478,4.19979,0.0,0.189,-0.73611,23.97615
589_Charge2.csv,0degC,207,16,207,2,3.24756,4.19995,0.0,3.00108,-0.63095,25.13289
589_Charge3.csv,0degC,206,16,206,2,3.34938,4.19995,0.0,2.99853,-0.63095,25.13289
589_Charge4.csv,0degC,205,16,205,3,3.39371,4.19995,0.0,2.99853,-0.73611,24.92257
589_Charge5.csv,0degC,206,16,206,3,3.35528,4.19995,0.0,2.99853,-0.73611,25.23805
589_Charge6.csv,0degC,205,16,205,3,3.39051,4.19995,0.0,3.00108,-0.73611,25.02773
589_Charge7.csv,0degC,206,16,206,2,3.37736,4.19995,0.0,2.99853,-0.73611,25.02773
589_Charge8.csv,0degC,206,16,206,2,3.35578,4.19995,0.0,3.00108,-0.94643,24.92257
589_HWFET.csv,0degC,49678,16,49678,1,2.93663,4.20113,-7.3098,3.00108,-0.73611,1.57738
589_LA92.csv,0degC,81577,16,81577,0,2.79976,4.20164,-13.56732,3.05217,-0.73611,1.47222
589_Mixed1.csv,0degC,67312,16,67312,1,2.79858,4.20164,-15.83535,3.07004,-0.73611,2.94444
589_Mixed2.csv,0degC,72303,16,72303,0,2.87544,4.20215,-17.05876,3.04706,-0.63095,2.31349
589_UDDS.csv,0degC,140435,16,140435,2,2.98905,4.20181,-9.12065,3.00108,-0.73611,0.42063
589_US06.csv,0degC,33806,16,33806,0,2.7947,4.20012,-17.61045,3.05983,-0.63095,3.89087
590_Charge10.csv,0degC,208,16,208,0,3.24369,4.19995,0.0,2.99853,-0.73611,25.13289
590_Charge11.csv,0degC,205,16,205,3,3.41158,4.19995,0.0,2.99853,-0.63095,25.13289
590_Charge12.csv,0degC,205,16,205,2,3.39219,4.19995,0.0,3.00108,-0.84127,25.13289
590_Charge13.csv,0degC,205,16,205,2,3.38494,4.19995,0.0,3.00108,-0.63095,25.13289
590_Charge14.csv,0degC,205,16,205,2,3.38225,4.19995,0.0,3.00108,-0.73611,25.13289
590_Charge15.csv,0degC,205,16,205,0,3.36151,4.19995,0.0,2.99853,-0.52579,25.13289
590_Charge16.csv,0degC,153,16,153,1,0.0,4.19995,0.0,2.99853,-0.63095,24.50194
590_Mixed4.csv,0degC,68027,16,68027,1,2.79268,4.20029,-17.58235,3.0445,-0.63095,3.47023
590_Mixed5.csv,0degC,64995,16,64995,1,2.79942,4.204,-16.19037,3.05472,-0.63095,2.10317
590_Mixed6.csv,0degC,62483,16,62483,0,2.79892,4.20248,-17.10729,3.00875,-0.84127,3.78571
590_Mixed7.csv,0degC,61540,16,61540,1,2.79807,4.19995,-16.71141,3.05472,-0.52579,3.25991
590_Mixed8.csv,0degC,75838,16,75838,0,2.79959,4.20147,-17.99867,3.05472,-0.73611,2.94444
590_PausCycl.csv,0degC,26301,16,26301,1,3.64576,4.20467,-7.49881,3.00108,-0.63095,0.21032
567_Charge6.csv,10degC,207,16,207,2,3.24099,4.19995,0.0,3.00108,8.93848,25.02773
567_Charge7.csv,10degC,208,16,208,2,3.23593,4.19995,0.0,3.00108,8.83332,24.92257
567_Charge8.csv,10degC,208,16,208,2,3.23694,4.19995,0.0,3.00108,9.04363,25.02773
567_Mixed1.csv,10degC,72329,16,72329,1,2.79689,4.20181,-16.41769,6.00472,8.83332,12.61902
567_Mixed2.csv,10degC,77752,16,77752,1,2.79605,4.20383,-15.48289,6.00217,8.93848,11.6726
567_US06.csv,10degC,38718,16,38718,0,2.79959,4.20501,-18.07018,5.99961,9.14879,12.40871
571_Cap_1C.csv,10degC,368,16,368,1,2.79993,4.18748,-3.00106,0.0,-0.42063,9.14879
571_Charge10.csv,10degC,208,16,208,3,3.24891,4.19995,0.0,3.00108,1.05159,25.02773
571_Charge11.csv,10degC,206,16,206,0,3.37972,4.19995,0.0,3.00108,8.93848,25.02773
571_Charge12.csv,10degC,205,16,205,2,3.3836,4.19995,0.0,3.00108,9.04363,24.92257
