File,Column,Missing_Count
585_C20DisCh.csv,Unnamed: 14,2244
585_Dis_0p5C.csv,Unnamed: 14,310
585_Dis_2C.csv,Unnamed: 14,230
585_HPPC.csv,Unnamed: 14,40219
589_Cap_1C.csv,Unnamed: 14,366
589_Charge1.csv,Unnamed: 14,131
589_Charge2.csv,Unnamed: 14,207
589_Charge3.csv,Unnamed: 14,206
589_Charge4.csv,Unnamed: 14,205
589_Charge5.csv,Unnamed: 14,206
589_Charge6.csv,Unnamed: 14,205
589_Charge7.csv,Unnamed: 14,206
589_Charge8.csv,Unnamed: 14,206
589_HWFET.csv,Unnamed: 14,49678
589_LA92.csv,Unnamed: 14,81577
589_Mixed1.csv,Unnamed: 14,67312
589_Mixed2.csv,Unnamed: 14,72303
589_UDDS.csv,Unnamed: 14,140435
589_US06.csv,Unnamed: 14,33806
590_Charge10.csv,Unnamed: 14,208
590_Charge11.csv,Unnamed: 14,205
590_Charge12.csv,Unnamed: 14,205
590_Charge13.csv,Unnamed: 14,205
590_Charge14.csv,Unnamed: 14,205
590_Charge15.csv,Unnamed: 14,205
590_Charge16.csv,Unnamed: 14,153
590_Mixed4.csv,Unnamed: 14,68027
590_Mixed5.csv,Unnamed: 14,64995
590_Mixed6.csv,Unnamed: 14,62483
590_Mixed7.csv,Unnamed: 14,61540
590_Mixed8.csv,Unnamed: 14,75838
590_PausCycl.csv,Unnamed: 14,26301
567_Charge6.csv,Unnamed: 14,207
567_Charge7.csv,Unnamed: 14,208
567_Charge8.csv,Unnamed: 14,208
567_Mixed1.csv,Unnamed: 14,72329
567_Mixed2.csv,Unnamed: 14,77752
567_US06.csv,Unnamed: 14,38718
571_Cap_1C.csv,Unnamed: 14,368
571_Charge10.csv,Unnamed: 14,208
571_Charge11.csv,Unnamed: 14,206
571_Charge12.csv,Unnamed: 14,205
571_Charge13.csv,Unnamed: 14,206
571_Charge14.csv,Unnamed: 14,206
571_Charge15.csv,Unnamed: 14,206
571_Charge16.csv,Unnamed: 14,152
571_Mixed4.csv,Unnamed: 14,73929
571_Mixed5.csv,Unnamed: 14,67174
571_Mixed6.csv,Unnamed: 14,73921
571_Mixed7.csv,Unnamed: 14,69325
571_Mixed8.csv,Unnamed: 14,81422
571_PausCycl.csv,Unnamed: 14,27831
575_C20DisCh.csv,Unnamed: 14,2337
575_Dis_0p5C.csv,Unnamed: 14,318
575_Dis_2C.csv,Unnamed: 14,236
575_HPPC.csv,Unnamed: 14,44219
576_Cap_1C.csv,Unnamed: 14,375
576_Charge1.csv,Unnamed: 14,130
576_Charge2.csv,Unnamed: 14,209
576_Charge3.csv,Unnamed: 14,206
576_Charge4.csv,Unnamed: 14,206
576_HWFET.csv,Unnamed: 14,52878
576_UDDS.csv,Unnamed: 14,148898
582_LA92.csv,Voltage,3
582_LA92.csv,Current,3
582_LA92.csv,Temperature,3
582_LA92.csv,Capacity,3
582_LA92.csv,WhAccu,3
582_LA92.csv,Cnt,4
582_LA92.csv,Unnamed: 14,90740
582_LA92.csv,Power,3
549_C20DisCh.csv,Unnamed: 14,2423
549_Dis_0p5C.csv,Unnamed: 14,111
549_Dis_2C.csv,Unnamed: 14,27
549_HPPC.csv,Unnamed: 14,48048
551_Cap_1C.csv,Unnamed: 14,397
551_Charge1.csv,Unnamed: 14,130
551_Charge2.csv,Unnamed: 14,213
551_Charge3.csv,Unnamed: 14,210
551_Charge4.csv,Unnamed: 14,130
551_Charge5.csv,Unnamed: 14,210
551_Charge6.csv,Unnamed: 14,210
551_Charge7.csv,Unnamed: 14,210
551_Charge8.csv,Unnamed: 14,211
551_HWFET.csv,Unnamed: 14,6002
551_LA92.csv,Unnamed: 14,100764
551_Mixed1.csv,Unnamed: 14,77227
551_Mixed2.csv,Unnamed: 14,79172
551_UDDS.csv,Unnamed: 14,159646
551_US06.csv,Unnamed: 14,40155
552_Cap_1C.csv,Unnamed: 14,393
552_Charge10.csv,Unnamed: 14,209
552_Charge11.csv,Unnamed: 14,209
552_Charge12.csv,Unnamed: 14,209
552_Charge13.csv,Unnamed: 14,209
552_Charge14.csv,Unnamed: 14,209
552_Charge15.csv,Unnamed: 14,209
552_Charge16.csv,Unnamed: 14,128
552_Charge9.csv,Unnamed: 14,213
552_Mixed3.csv,Unnamed: 14,73827
552_Mixed4.csv,Unnamed: 14,80850
552_Mixed5.csv,Unnamed: 14,72184
552_Mixed6.csv,Unnamed: 14,78106
552_Mixed7.csv,Unnamed: 14,73235
552_Mixed8.csv,Unnamed: 14,85915
552_PausCycl.csv,Unnamed: 14,63019
555_C20DisCh.csv,Unnamed: 14,2342
555_Dis_0p5C.csv,Unnamed: 14,318
555_Dis_2C.csv,Unnamed: 14,238
555_HPPC.csv,Unnamed: 14,44519
556_Charge1.csv,Unnamed: 14,131
556_Charge2.csv,Unnamed: 14,212
556_Charge3.csv,Unnamed: 14,209
556_Charge4.csv,Unnamed: 14,209
556_Charge5.csv,Unnamed: 14,209
556_Charge6.csv,Unnamed: 14,209
556_Charge7.csv,Unnamed: 14,209
556_Charge8.csv,Unnamed: 14,210
556_HWFET.csv,Unnamed: 14,55910
556_LA92.csv,Unnamed: 14,98637
556_Mixed1.csv,Unnamed: 14,75341
556_Mixed2.csv,Unnamed: 14,78956
556_UDDS.csv,Unnamed: 14,158956
556_US06.csv,Unnamed: 14,39961
557_Cap_1C.csv,Unnamed: 14,369
557_Charge10.csv,Unnamed: 14,33
557_Charge9.csv,Unnamed: 14,208
557_Mixed3.csv,Unnamed: 14,67625
562_Charge10.csv,Unnamed: 14,432
562_Charge11.csv,Unnamed: 14,144
562_Charge12.csv,Unnamed: 14,143
562_Charge13.csv,Unnamed: 14,144
562_Charge14.csv,Unnamed: 14,143
562_Charge15.csv,Unnamed: 14,144
562_Charge16.csv,Unnamed: 14,135
562_Mixed4.csv,Unnamed: 14,11327
562_Mixed5.csv,Unnamed: 14,13087
562_Mixed6.csv,Unnamed: 14,11761
562_Mixed7.csv,Unnamed: 14,7848
562_Mixed8.csv,Unnamed: 14,14385
562_PausCycl.csv,Unnamed: 14,7925
593_C20DisCh.csv,Unnamed: 14,2206
593_Dis_0p5C.csv,Unnamed: 14,302
593_Dis_2C.csv,Unnamed: 14,219
593_HPPC.csv,Unnamed: 14,40084
596_Cap_1C.csv,Unnamed: 14,341
596_Charge1.csv,Unnamed: 14,131
596_Charge2.csv,Unnamed: 14,204
596_Charge3.csv,Unnamed: 14,202
596_Charge4.csv,Unnamed: 14,202
596_Charge5.csv,Unnamed: 14,202
596_HWFET.csv,Unnamed: 14,44903
596_LA92.csv,Unnamed: 14,72098
596_UDDS.csv,Unnamed: 14,123602
601_Charge6.csv,Unnamed: 14,201
601_Charge7.csv,Unnamed: 14,201
601_Charge8.csv,Unnamed: 14,202
601_Mixed1.csv,Unnamed: 14,62622
601_Mixed2.csv,Unnamed: 14,65254
601_US06.csv,Unnamed: 14,31913
602_Cap_1C.csv,Unnamed: 14,337
602_Charge10.csv,Unnamed: 14,203
602_Charge11.csv,Unnamed: 14,202
602_Charge12.csv,Unnamed: 14,201
602_Charge17.csv,Unnamed: 14,131
602_Mixed4.csv,Unnamed: 14,65677
602_Mixed5.csv,Unnamed: 14,60087
604_Charge10.csv,Unnamed: 14,202
604_Charge13.csv,Unnamed: 14,201
604_Charge14.csv,Unnamed: 14,201
604_Charge15.csv,Unnamed: 14,201
604_Charge16.csv,Unnamed: 14,153
604_Charge17.csv,Unnamed: 14,140
604_Charge9.csv,Unnamed: 14,204
604_Mixed3.csv,Unnamed: 14,55214
604_Mixed6.csv,Unnamed: 14,55968
604_Mixed7.csv,Unnamed: 14,55940
604_Mixed8.csv,Unnamed: 14,67325
604_PausCycl.csv,Unnamed: 14,22150
607_C20DisCh.csv,Unnamed: 14,2150
607_Dis_0p5C.csv,Unnamed: 14,283
607_Dis_2C.csv,Unnamed: 14,199
607_HPPC.csv,Unnamed: 14,36067
610_Cap_1C.csv,Unnamed: 14,270
610_Charge1.csv,Unnamed: 14,130
610_Charge2.csv,Unnamed: 14,193
610_Charge3.csv,Unnamed: 14,190
610_Charge4.csv,Unnamed: 14,190
610_Charge5.csv,Unnamed: 14,190
610_Charge6.csv,Unnamed: 14,191
610_Charge7.csv,Unnamed: 14,191
610_Charge8.csv,Unnamed: 14,192
610_HWFET.csv,Unnamed: 14,33345
610_LA92.csv,Unnamed: 14,52485
610_Mixed1.csv,Unnamed: 14,45343
610_Mixed2.csv,Unnamed: 14,43043
610_UDDS.csv,Unnamed: 14,81911
610_US06.csv,Unnamed: 14,27606
611_Cap_1C.csv,Unnamed: 14,264
611_Charge10.csv,Unnamed: 14,191
611_Charge11.csv,Unnamed: 14,190
611_Charge12.csv,Unnamed: 14,190
611_Charge13.csv,Unnamed: 14,190
611_Charge14.csv,Unnamed: 14,190
611_Charge15.csv,Unnamed: 14,190
611_Charge17.csv,Unnamed: 14,131
611_Charge9.csv,Unnamed: 14,192
611_Mixed3.csv,Unnamed: 14,45163
611_Mixed4.csv,Unnamed: 14,46053
611_Mixed5.csv,Unnamed: 14,45458
611_Mixed6.csv,Unnamed: 14,44196
611_Mixed7.csv,Unnamed: 14,40683
611_Mixed8.csv,Unnamed: 14,46763
611_PausCycl.csv,Unnamed: 14,16617
