File,Duplicate_Rows
585_C20DisCh.csv,1
585_Dis_0p5C.csv,2
585_Dis_2C.csv,2
585_HPPC.csv,188
589_Cap_1C.csv,2
589_Charge1.csv,2
589_Charge2.csv,2
589_Charge3.csv,2
589_Charge4.csv,3
589_Charge5.csv,3
589_Charge6.csv,3
589_Charge7.csv,2
589_Charge8.csv,2
589_HWFET.csv,1
589_Mixed1.csv,1
589_UDDS.csv,2
590_Charge11.csv,3
590_Charge12.csv,2
590_Charge13.csv,2
590_Charge14.csv,2
590_Charge16.csv,1
590_Mixed4.csv,1
590_Mixed5.csv,1
590_Mixed7.csv,1
590_PausCycl.csv,1
567_Charge6.csv,2
567_Charge7.csv,2
567_Charge8.csv,2
567_Mixed1.csv,1
567_Mixed2.csv,1
571_Cap_1C.csv,1
571_Charge10.csv,3
571_Charge12.csv,2
571_Charge13.csv,3
571_Charge14.csv,3
571_Charge15.csv,3
571_Charge16.csv,3
571_Mixed4.csv,1
571_Mixed5.csv,1
571_Mixed6.csv,1
571_Mixed7.csv,1
571_PausCycl.csv,1
575_C20DisCh.csv,1
575_Dis_0p5C.csv,3
575_Dis_2C.csv,3
575_HPPC.csv,206
576_Charge1.csv,1
576_Charge2.csv,3
576_Charge3.csv,2
576_Charge4.csv,2
576_HWFET.csv,1
576_UDDS.csv,1
582_LA92.csv,202
549_C20DisCh.csv,2
549_Charge.csv,12
549_HPPC.csv,233
551_Cap_1C.csv,2
551_Charge1.csv,1
551_Charge2.csv,1
551_Charge3.csv,2
551_Charge5.csv,2
551_Charge6.csv,1
551_Charge7.csv,3
551_Charge8.csv,2
551_LA92.csv,1
551_Mixed1.csv,1
551_Mixed2.csv,1
551_US06.csv,1
552_Cap_1C.csv,2
552_Charge10.csv,2
552_Charge11.csv,3
552_Charge12.csv,2
552_Charge13.csv,1
552_Charge14.csv,2
552_Charge15.csv,1
552_Charge16.csv,1
552_Charge9.csv,2
552_Mixed6.csv,1
552_Mixed7.csv,1
552_PausCycl.csv,4
555_Dis_0p5C.csv,2
555_Dis_2C.csv,2
555_HPPC.csv,217
556_Charge1.csv,2
556_Charge2.csv,3
556_Charge3.csv,3
556_Charge4.csv,3
556_Charge5.csv,2
556_Charge6.csv,2
556_Charge7.csv,2
556_Charge8.csv,3
556_HWFET.csv,1
556_LA92.csv,1
556_Mixed2.csv,1
556_UDDS.csv,1
556_US06.csv,1
557_Cap_1C.csv,2
557_Charge9.csv,1
562_Charge10.csv,1
562_Charge11.csv,3
562_Charge12.csv,2
562_Charge13.csv,1
562_Charge14.csv,3
562_Charge15.csv,2
562_Charge16.csv,2
562_Mixed4.csv,1
562_Mixed5.csv,1
562_Mixed6.csv,1
562_Mixed7.csv,1
562_Mixed8.csv,1
562_PausCycl.csv,1
593_C20DisCh.csv,1
593_Dis_0p5C.csv,2
593_Dis_2C.csv,2
593_HPPC.csv,183
596_Cap_1C.csv,2
596_Charge1.csv,2
596_Charge2.csv,2
596_Charge3.csv,1
596_Charge4.csv,1
596_Charge5.csv,2
596_LA92.csv,1
596_UDDS.csv,1
601_Charge6.csv,2
601_Charge7.csv,3
601_Charge8.csv,2
601_Mixed1.csv,1
601_Mixed2.csv,1
601_US06.csv,1
602_Cap_1C.csv,2
602_Charge10.csv,1
602_Charge11.csv,1
602_Charge12.csv,2
602_Charge17.csv,3
602_Mixed4.csv,4160
602_Mixed5.csv,1
604_Charge10.csv,2
604_Charge13.csv,3
604_Charge14.csv,1
604_Charge15.csv,2
604_Charge16.csv,2
604_Charge17.csv,3
604_Charge9.csv,2
604_Mixed6.csv,1
604_Mixed7.csv,1
604_PausCycl.csv,1
607_C20DisCh.csv,1
607_Dis_0p5C.csv,1
607_Dis_2C.csv,3
607_HPPC.csv,181
610_Cap_1C.csv,2
610_Charge1.csv,3
610_Charge2.csv,2
610_Charge4.csv,3
610_Charge5.csv,2
610_Charge6.csv,2
610_Charge7.csv,2
610_Charge8.csv,2
610_Mixed1.csv,1
610_UDDS.csv,1
610_US06.csv,1
611_Cap_1C.csv,1
611_Charge10.csv,3
611_Charge11.csv,3
611_Charge12.csv,1
611_Charge13.csv,3
611_Charge14.csv,3
611_Charge15.csv,2
611_Charge17.csv,4
611_Charge9.csv,2
611_Mixed4.csv,1
611_Mixed5.csv,1
611_Mixed6.csv,1
611_Mixed7.csv,1
611_Mixed8.csv,1
